ID_Escenario;Ejecucion;Modelo;Ciclo_Extincion;Celdas_Quemadas;Pct_Quemado;Focos_Detectados;Evacuaciones;Agua_Terrestre_L;Agua_Aerea_L
CEN-01;1;Centralizado;380;1837;0;48;0;2947;8384
DES-01;1;Descentralizado;340;1283;0;90;0;3296;5544
CEN-01;2;Centralizado;760;2586;0;64;0;1336;8528
DES-01;2;Descentralizado;550;3640;0;226;0;5084;10944
CEN-01;3;Centralizado;430;2504;0;58;0;875;9992
DES-01;3;Descentralizado;500;2614;0;116;0;3839;7408
CEN-01;4;Centralizado;300;958;0;41;0;568;5664
DES-01;4;Descentralizado;1950;18827;2;725;1;31671;45088
CEN-01;5;Centralizado;410;1745;0;76;0;136;7144
DES-01;5;Descentralizado;660;4320;1;218;0;7004;12760
CEN-01;6;Centralizado;440;2671;0;59;0;972;8688
DES-01;6;Descentralizado;390;1494;0;42;0;1684;5160
;;;;;;;;;
CEN-02;1;Centralizado;400;2756;0;91;32;14232;5632
DES-02;1;Descentralizado;170;455;0;53;16;3726;0
CEN-02;2;Centralizado;600;5283;1;212;15;20887;11992
DES-02;2;Descentralizado;450;2145;0;47;0;5312;9120
CEN-02;3;Centralizado;1590;25526;3;913;36;87638;36816
DES-02;3;Descentralizado;1620;12558;2;795;16;72216;18104
CEN-02;4;Centralizado;710;6047;1;609;18;43884;9864
DES-02;4;Descentralizado;570;3741;0;250;8;19639;6824
CEN-02;5;Centralizado;150;357;0;36;2;1101;1856
DES-02;5;Descentralizado;160;349;0;52;2;2797;0
CEN-02;6;Centralizado;1020;10382;1;463;4;51282;17232
DES-02;6;Descentralizado;220;1212;0;55;2;9819;0
;;;;;;;;;
CEN-03;1;Centralizado;1870;11588;1;100;0;26219;12440
DES-03;1;Descentralizado;1020;6355;1;261;0;12032;13264
CEN-03;2;Centralizado;1140;8083;1;125;0;18672;11672
DES-03;2;Descentralizado;1160;9419;1;150;0;22803;11584
CEN-03;3;Centralizado;420;1968;0;29;0;8346;4480
DES-03;3;Descentralizado;670;4442;1;121;1;21519;8200
CEN-03;4;Centralizado;1070;2924;0;59;0;6791;6576
DES-03;4;Descentralizado;640;2307;0;142;0;5983;7392
CEN-03;5;Centralizado;1790;14667;2;178;2;19327;15408
DES-03;5;Descentralizado;2850;19727;2;361;1;34513;21184
CEN-03;6;Centralizado;510;2514;0;52;0;6957;5608
DES-03;6;Descentralizado;3440;44937;5;527;2;101023;28336
